country_code,country,population,pop_density,GDP,sdg_index,epi_score
AFG,Afghanistan,34.656032,53.08340532,60.28705023,46.8,37.74
ALB,Albania,2.876101,104.9671898,32.66991645,68.9,65.46
DZA,Algeria,40.606052,17.04889491,565.284,68.8,57.18
AGO,Angola,28.813463,23.11178551,172.438,50.2,37.44
ATG,Antigua and Barbuda,0.100963,229.4613636,2.121537299,-9999,59.18
ARG,Argentina,43.84743,16.0220668,810.714,72.5,59.3
ARM,Armenia,2.924816,102.7332631,23.95494292,71.7,62.07
AUS,Australia,24.127159,3.140616612,1071.58,75.9,74.12
AUT,Austria,8.747358,105.9990306,388.015,81.4,78.97
AZE,Azerbaijan,9.762274,118.0972624,156.138,70.8,62.33
BHS,Bahamas,0.391232,39.08411588,8.168481869,-9999,54.99
BHR,Bahrain,1.425171,1848.470817,64.33731963,64.6,55.15
BGD,Bangladesh,162.95156,1251.836521,540.894,56.2,29.56
BRB,Barbados,0.284996,662.7813953,4.773832887,66,55.76
BLR,Belarus,9.50712,46.8538761,159.171,77.1,64.98
BEL,Belgium,11.348159,374.7740753,477.288,80,77.38
BLZ,Belize,0.366954,16.0874178,2.879126894,66,57.79
BEN,Benin,10.872298,96.41981199,21.85289913,49.5,38.17
BTN,Bhutan,0.797765,20.92937534,6.584188915,65.5,47.22
BOL,Bolivia,10.887882,10.05066187,73.03543539,64.7,55.98
BIH,Bosnia and Herzegovina,3.516816,68.6878125,39.8364244,65.5,41.84
BWA,Botswana,2.25026,3.970603286,35.38137144,58.3,51.7
BRA,Brazil,207.652865,24.84438703,2912.06,69.5,60.7
BRN,Brunei Darussalam,0.423196,80.3028463,30.38072591,-9999,63.57
BGR,Bulgaria,7.127822,65.65790346,126.835,72.5,67.85
BFA,Burkina Faso,18.646433,68.1521674,30.62090813,49.9,42.83
BDI,Burundi,10.524117,409.8176402,7.589746511,51.8,27.43
CIV,C̫te d'Ivoire,23.695919,74.51546855,81.15293531,53.3,45.25
CPV,Cabo Verde,0.53956,133.8858561,3.277694564,-9999,56.94
KHM,Cambodia,15.76237,89.29509404,54.61859125,58.2,43.23
CMR,Cameroon,23.439189,49.58471156,78.44669479,52.8,40.81
CAN,Canada,36.286425,3.990365107,1563.5,78,72.18
CAF,Central African Republic,4.594621,7.375230344,2.976765097,36.7,36.42
TCD,Chad,14.452543,11.47755956,26.67816128,41.5,45.34
CHL,Chile,17.909754,24.08740175,406.672,71.6,57.49
CHN,China,1378.665,146.850662,19852,67.1,50.74
COL,Colombia,48.653419,43.85166201,638.543,64.8,65.22
COM,Comoros,0.795601,427.5126276,1.122714212,-9999,44.24
CRI,Costa Rica,4.857274,95.12875049,74.8092691,69.8,67.85
HRV,Croatia,4.1706,74.52823445,89.86469266,76.9,65.45
CUB,Cuba,11.475982,110.3247645,239.3704429,75.5,63.42
CYP,Cyprus,1.170125,126.6369048,26.68059236,70.6,72.6
CZE,Czech Republic,10.561633,136.7909986,331.137,81.9,67.68
COD,Dem. Rep. Congo,78.736153,34.73066452,58.57137876,42.7,30.41
DNK,Denmark,5.731118,135.6092471,263.438,84.2,81.6
DJI,Djibouti,0.942333,40.65284728,3.178944562,49.6,40.04
DMA,Dominica,0.073543,98.05733333,0.746560183,-9999,59.38
DOM,Dominican Republic,10.648791,220.4262265,150.136,67.2,64.71
ECU,Ecuador,16.385068,65.97305524,170.802,69,57.42
EGY,Egypt,95.688681,96.12605455,987.436,64.9,61.21
SLV,El Salvador,6.344722,306.2124517,50.69431137,62.9,53.91
GNQ,Equatorial Guinea,1.22149,43.54688057,29.51428575,-9999,60.4
ERI,Eritrea,6.975,69.05940594,7.795960491,-9999,39.34
EST,Estonia,1.316481,31.05640481,36.98661617,78.6,64.31
ETH,Ethiopia,102.403196,102.403196,164.694,53.5,44.78
FJI,Fiji,0.89876,49.19321292,7.592063187,-9999,53.09
FIN,Finland,5.495096,18.0825167,217.183,84,78.64
FRA,France,66.896109,122.1719547,2545.99,80.3,83.95
GAB,Gabon,1.979786,7.683416773,33.23268922,65.1,45.05
GMB,Gambia,2.038501,201.4329051,3.169632857,47.8,42.42
GEO,Georgia,3.7193,64.96028552,34.50307669,68.6,55.69
DEU,Germany,82.667685,236.9380482,3658.9,81.7,78.37
GHA,Ghana,28.206728,123.9638217,112.268,59.9,49.66
GRC,Greece,10.74674,83.37269201,260.905,72.9,73.6
GRD,Grenada,0.107317,315.6382353,1.413048536,-9999,50.93
GTM,Guatemala,16.582469,154.7449515,122.159,58.3,52.33
GIN,Guinea,12.395924,50.44735471,22.60196905,48.8,46.62
GNB,Guinea-Bissau,1.815698,64.56963016,2.708443938,-9999,44.67
GUY,Guyana,0.773303,3.928387097,5.619078875,64.7,47.93
